system:index,date,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,.geo
0,2015-12-15,6.54125352620732,33.87389799616083,0.0037554694018346784,15.015872115506422,-0.5657819586282519,-1.2804274099710655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-12-16,8.966272841252568,31.174435263742932,0.0036743587059073733,16.02582912094145,-1.5197168218498291,-0.6546066759135246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-12-17,16.46535888704238,44.52450817433626,0.005751337879166634,17.021518510455408,-1.5451338159761607,-0.30357068978452423,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-12-18,7.73682095221469,37.86594695150385,0.00420830406751411,15.267689362174998,-1.0024470312948446,-1.6634201159779884,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-12-19,7.414364212680646,34.38516977429185,0.0038758969613788556,15.526813123228166,-1.718586595027953,-0.038705600721077336,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-12-20,13.322622079115046,34.924977898302586,0.004413415493881475,16.775132594609587,-1.7652058989551638,-0.10019743550181599,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-12-21,10.717111765233774,42.370310058442875,0.005054123163125471,15.81016076958882,-1.6929969113935475,-1.0546416022413803,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-12-22,10.40974976526229,42.650265806599016,0.004897778771295971,15.290269226071713,-2.451271287155077,-0.7005643438474262,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-12-23,12.636987868384947,43.11377591422524,0.004859179323684056,15.000038492134946,-1.331997017628823,-1.4112251932134194,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-12-24,8.259274742322189,38.86518490071024,0.004265656447787129,14.909383443076335,-0.428674972711253,-1.8165623537288538,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-12-25,6.585967678447675,37.68634152228619,0.003635629328764473,13.166219185444405,-0.8518800547084875,-1.6805749707065132,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-12-26,9.09953787853476,35.14216001729316,0.0036231648220734773,14.150222169756681,-0.6227078880967697,-0.6089462556989492,"{""type"":""MultiPoint"",""coordinates"":[]}"
